Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;39.25;0.80;40.48;0.80;37.60;0.80;;;;0.196;4286;2;8.172;;;0.001;147;0;20.02;
800000-threshold-145;42.81;0.80;43.57;0.80;41.13;0.80;;;;0.152;3600;2;21.172;;;0.001;512;0;22.05;
idle;39.45;0.80;41.01;0.80;38.05;0.80;;;;0.187;3467;2;8.736;;;0.001;117;0;20.02;
800000-threshold-150;42.95;0.80;43.92;0.80;41.24;0.80;;;;0.154;4246;2;22.143;;;0.001;575;0;21.15;
idle;39.06;0.80;40.37;0.80;37.42;0.80;;;;0.171;3477;2;7.927;;;0.001;113;0;20.02;
800000-threshold-155;42.89;0.80;44.17;0.80;41.05;0.80;;;;0.103;2843;2;21.362;;;0.001;132;0;21.45;
idle;39.22;0.80;40.56;0.80;37.88;0.80;;;;0.195;3845;2;8.252;;;0.001;103;0;20.02;
800000-threshold-160;43.03;0.80;44.24;0.80;41.11;0.80;;;;0.172;4310;2;22.033;;;0.002;669;0;20.95;
idle;39.23;0.80;41.48;0.80;38.13;0.80;;;;0.206;3893;2;8.182;;;0.001;106;0;20.02;
800000-threshold-165;43.15;0.80;44.40;0.80;41.10;0.80;;;;0.163;3996;2;22.247;;;0.001;174;0;20.92;
idle;39.22;0.80;41.49;0.80;37.77;0.80;;;;0.174;3800;2;8.264;;;0.001;183;0;20.02;
800000-threshold-170;42.88;0.80;43.52;0.80;41.39;0.80;;;;0.161;4124;2;21.458;;;0.002;575;0;21.21;
idle;39.16;0.80;40.62;0.80;37.94;0.80;;;;0.175;4139;2;8.028;;;0.001;116;0;20.02;
800000-threshold-175;43.01;0.80;44.35;0.80;41.24;0.80;;;;0.136;4214;2;22.056;;;0.002;797;0;20.90;
idle;39.12;0.80;43.55;0.80;37.57;0.80;;;;0.168;3447;2;8.141;;;0.001;168;0;20.02;
800000-threshold-180;42.99;0.80;44.00;0.80;41.17;0.80;;;;0.164;3988;2;21.649;;;0.002;575;0;20.05;
idle;39.21;0.80;40.46;0.80;37.35;0.80;;;;0.214;3977;2;8.458;;;0.001;122;0;20.02;
800000-threshold-185;43.14;0.80;44.14;0.80;41.12;0.80;;;;0.194;4325;2;22.575;;;0.003;853;0;19.47;
idle;38.94;0.80;40.92;0.80;37.65;0.80;;;;0.196;3392;2;8.269;;;0.001;122;0;20.01;
800000-threshold-190;43.26;0.80;44.51;0.80;41.10;0.80;;;;0.186;4311;2;22.520;;;0.002;532;0;18.87;
idle;39.05;0.80;42.99;0.80;37.28;0.80;;;;0.195;3588;2;8.234;;;0.001;119;0;20.02;
800000-threshold-195;43.29;0.80;44.48;0.80;41.83;0.80;;;;0.205;4023;2;22.850;;;0.002;709;0;18.50;
idle;38.96;0.80;40.86;0.80;37.45;0.80;;;;0.187;4023;2;8.276;;;0.001;102;0;20.02;
800000-threshold-200;43.20;0.80;44.01;0.80;41.62;0.80;;;;0.165;2690;2;22.592;;;0.001;127;0;18.00;
idle;39.31;0.80;40.20;0.80;38.00;0.80;;;;0.194;4110;2;8.302;;;0.000;92;0;20.00;
800000-threshold-205;43.25;0.80;44.50;0.80;41.21;0.80;;;;0.167;2643;2;22.545;;;0.001;102;0;17.69;
