Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
1100000-threshold-150;47.38;1.10;50.55;1.10;41.81;1.06;;;;0.152;13586;2;32.248;;;0.003;4436;0;68.32;
idle;39.20;1.09;40.25;1.12;38.20;1.05;;;;0.230;4689;2;6.212;;;0.001;126;0;20.02;
1200000-threshold-0;51.76;1.20;53.20;1.20;45.45;1.20;;;;0.121;5710;2;45.658;;;0.002;2175;0;43.92;
idle;39.10;1.09;40.25;1.12;38.14;1.05;;;;0.241;4411;2;5.966;;;0.000;93;0;20.02;
1200000-threshold-50;47.86;1.20;51.26;1.20;41.58;1.11;;;;0.166;14134;2;31.493;;;0.003;5020;0;67.26;
idle;40.96;1.11;47.73;1.17;38.58;1.07;;;;0.232;4280;2;8.598;;;0.001;264;0;20.02;
1200000-threshold-100;47.96;1.20;50.74;1.20;43.38;1.20;;;;0.196;14420;2;31.742;;;0.003;4630;0;64.73;
idle;39.35;1.09;41.64;1.13;38.21;1.06;;;;0.274;4797;2;6.236;;;0.000;117;0;20.02;
1200000-threshold-150;48.54;1.20;52.61;1.20;43.71;1.20;;;;0.216;15228;2;31.882;;;0.002;3888;0;62.78;
idle;39.37;1.09;40.26;1.12;38.50;1.05;;;;0.288;5089;2;6.239;;;0.001;122;0;20.02;
1200000-threshold-0;47.70;1.20;50.38;1.20;43.33;1.18;;;;0.166;13742;2;30.128;;;0.003;4910;0;74.65;
idle;39.42;1.09;42.05;1.15;38.05;1.05;;;;0.186;4433;2;6.551;;;0.001;113;0;20.02;
1200000-threshold-50;48.08;1.20;51.81;1.20;41.82;1.16;;;;0.154;13787;2;31.784;;;0.002;3875;0;66.39;
idle;39.07;1.09;40.96;1.12;37.97;1.06;;;;0.266;4412;2;6.069;;;0.001;122;0;20.01;
1200000-threshold-100;48.33;1.20;52.52;1.20;41.95;1.13;;;;0.192;14335;2;31.652;;;0.002;3832;0;65.33;
idle;39.30;1.09;40.72;1.13;38.34;1.06;;;;0.313;4958;2;6.276;;;0.001;121;0;20.02;
1200000-threshold-150;47.86;1.20;51.30;1.20;42.38;1.14;;;;0.168;12710;2;30.320;;;0.002;3786;0;69.62;
idle;39.35;1.10;41.57;1.14;37.61;1.06;;;;0.241;4582;2;6.480;;;0.000;112;0;20.02;
1200000-threshold-0;51.76;1.20;53.21;1.20;45.24;1.20;;;;0.108;6679;2;45.556;;;0.003;3159;0;43.76;
idle;39.50;1.09;42.07;1.13;38.05;1.06;;;;0.192;3968;2;6.450;;;0.000;113;0;20.02;
1200000-threshold-50;47.97;1.20;51.67;1.20;42.27;1.15;;;;0.190;14610;2;31.929;;;0.003;4757;0;67.37;
idle;39.18;1.09;40.68;1.14;37.71;1.05;;;;0.240;4119;2;6.144;;;0.000;96;0;20.00;
1200000-threshold-100;47.93;1.20;50.96;1.20;43.93;1.18;;;;0.191;15022;2;31.671;;;0.002;3962;0;66.38;
idle;39.55;1.09;40.85;1.13;37.99;1.03;;;;0.238;4177;2;6.401;;;0.001;111;0;20.02;
