Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
800000-threshold-115;44.81;0.80;47.12;0.80;43.09;0.80;;;;0.132;11953;2;30.893;;;0.003;3371;0;53.91;
idle;39.97;0.80;43.30;0.80;38.10;0.80;;;;0.191;3677;2;8.884;;;0.001;116;0;20.02;
800000-threshold-120;44.97;0.80;47.75;0.80;43.05;0.80;;;;0.147;11815;2;31.151;;;0.002;2306;0;55.34;
idle;39.30;0.80;41.06;0.80;37.67;0.80;;;;0.209;4274;2;8.123;;;0.001;110;0;20.02;
800000-threshold-125;46.87;0.80;47.84;0.80;44.65;0.80;;;;0.129;8241;2;41.578;;;0.003;2444;0;36.86;
idle;39.30;0.80;40.53;0.80;38.02;0.80;;;;0.154;3612;2;8.046;;;0.001;99;0;20.02;
800000-threshold-130;44.88;0.80;47.47;0.80;43.36;0.80;;;;0.147;11601;2;29.864;;;0.002;2886;0;57.90;
idle;39.68;0.80;40.85;0.80;38.59;0.80;;;;0.187;4381;2;8.539;;;0.001;120;0;20.02;
800000-threshold-135;45.18;0.80;48.67;0.80;43.36;0.80;;;;0.141;11506;2;31.435;;;0.003;2707;0;54.19;
idle;39.59;0.80;41.36;0.80;38.42;0.80;;;;0.193;4191;2;8.281;;;0.001;242;0;20.02;
800000-threshold-140;46.46;0.80;47.72;0.80;42.30;0.80;;;;0.119;8198;2;39.215;;;0.004;2915;0;37.32;
idle;39.77;0.80;41.41;0.80;37.96;0.80;;;;0.185;3803;2;8.616;;;0.001;111;0;20.02;
800000-threshold-145;46.46;0.80;47.65;0.80;42.55;0.80;;;;0.123;8705;2;39.587;;;0.003;2824;0;37.43;
idle;39.74;0.80;41.31;0.80;38.16;0.80;;;;0.187;3866;2;8.329;;;0.001;95;0;20.02;
800000-threshold-150;45.20;0.80;47.58;0.80;43.62;0.80;;;;0.138;11789;2;31.069;;;0.003;3092;0;52.76;
idle;39.84;0.80;43.90;0.80;38.66;0.80;;;;0.212;4135;2;8.760;;;0.001;157;0;20.02;
800000-threshold-155;43.71;0.80;44.43;0.80;42.02;0.80;;;;0.161;14262;2;24.392;;;0.002;2763;0;76.16;
idle;39.74;0.80;40.90;0.80;38.15;0.80;;;;0.189;4049;2;8.476;;;0.001;270;0;20.02;
800000-threshold-160;46.37;0.80;47.62;0.80;42.12;0.80;;;;0.124;7885;2;39.512;;;0.003;2927;0;36.38;
idle;39.69;0.80;41.16;0.80;37.79;0.80;;;;0.161;4020;2;8.366;;;0.001;115;0;20.00;
800000-threshold-165;46.60;0.80;50.73;0.80;43.21;0.80;;;;0.123;7880;2;39.354;;;0.003;2248;0;36.70;
idle;39.72;0.80;40.63;0.80;38.59;0.80;;;;0.180;4021;2;8.402;;;0.001;101;0;20.02;
800000-threshold-170;47.00;0.80;50.58;0.80;43.19;0.80;;;;0.104;7016;2;41.128;;;0.003;2522;0;34.50;
idle;39.54;0.80;40.52;0.80;38.59;0.80;;;;0.197;3457;2;8.116;;;0.001;113;0;20.02;
800000-threshold-175;46.61;0.80;47.75;0.80;43.57;0.80;;;;0.115;8357;2;39.609;;;0.004;3563;0;35.87;
idle;40.26;0.80;42.15;0.80;37.88;0.80;;;;0.204;4132;2;10.363;;;0.001;123;0;20.02;
800000-threshold-180;46.99;0.80;50.76;0.80;42.51;0.80;;;;0.102;7212;2;39.834;;;0.004;2661;0;35.38;
idle;39.70;0.80;44.78;0.80;37.70;0.80;;;;0.173;3742;2;8.607;;;0.001;121;0;20.02;
800000-threshold-185;47.29;0.80;50.67;0.80;43.64;0.80;;;;0.138;6663;2;41.771;;;0.003;1968;0;32.26;
idle;39.75;0.80;41.12;0.80;38.16;0.80;;;;0.179;3815;2;8.677;;;0.001;117;0;20.02;
800000-threshold-190;45.13;0.80;48.12;0.80;43.23;0.80;;;;0.133;10513;2;30.967;;;0.003;2518;0;49.25;
idle;39.73;0.80;43.89;0.80;38.78;0.80;;;;0.190;3834;2;8.483;;;0.001;116;0;20.02;
800000-threshold-195;45.19;0.80;47.94;0.80;43.16;0.80;;;;0.140;11720;2;30.917;;;0.003;2891;0;48.42;
idle;39.61;0.80;40.77;0.80;38.75;0.80;;;;0.201;4061;2;8.296;;;0.001;127;0;20.02;
800000-threshold-200;45.31;0.80;48.06;0.80;43.50;0.80;;;;0.164;10992;2;31.130;;;0.003;2923;0;47.64;
idle;39.78;0.80;41.09;0.80;38.46;0.80;;;;0.167;3802;2;8.436;;;0.001;113;0;20.02;
800000-threshold-205;45.31;0.80;49.28;0.80;43.17;0.80;;;;0.151;10767;2;30.878;;;0.003;2543;0;47.27;
idle;39.62;0.80;40.32;0.80;38.62;0.80;;;;0.176;3655;2;8.197;;;0.001;80;0;20.02;
800000-threshold-210;47.39;0.80;51.04;0.80;43.53;0.80;;;;0.143;7435;2;41.466;;;0.003;2230;0;31.73;
idle;39.55;0.80;40.65;0.80;38.32;0.80;;;;0.193;3835;2;8.295;;;0.001;230;0;20.02;
800000-threshold-215;46.97;0.80;50.94;0.80;43.70;0.80;;;;0.113;6627;2;39.834;;;0.004;2525;0;32.33;
idle;39.57;0.80;40.75;0.80;38.44;0.80;;;;0.179;3566;2;8.201;;;0.000;97;0;20.02;
800000-threshold-220;44.80;0.80;47.37;0.80;43.41;0.80;;;;0.129;10013;2;29.477;;;0.003;2707;0;49.47;
idle;39.67;0.80;40.73;0.80;38.88;0.80;;;;0.212;3929;2;8.475;;;0.001;114;0;20.02;
800000-threshold-225;45.33;0.80;47.89;0.80;43.98;0.80;;;;0.145;10487;2;30.951;;;0.003;2803;0;46.64;
idle;39.48;0.80;40.54;0.80;38.24;0.80;;;;0.193;3922;2;8.083;;;0.001;139;0;20.02;
800000-threshold-230;45.14;0.80;48.12;0.80;42.82;0.80;;;;0.175;10826;2;31.162;;;0.003;2664;0;47.18;
idle;39.65;0.80;41.20;0.80;38.52;0.80;;;;0.187;3726;2;8.149;;;0.001;87;0;20.02;
800000-threshold-235;47.39;0.80;51.10;0.80;43.65;0.80;;;;0.121;6731;2;41.186;;;0.004;2189;0;30.52;
idle;39.48;0.80;41.23;0.80;38.26;0.80;;;;0.191;3624;2;8.039;;;0.000;89;0;20.01;
800000-threshold-240;47.69;0.80;51.52;0.80;42.74;0.80;;;;0.150;6645;2;42.194;;;0.004;2498;0;30.17;
idle;39.71;0.80;41.20;0.80;38.46;0.80;;;;0.178;4136;2;8.483;;;0.001;110;0;20.02;
800000-threshold-245;46.69;0.80;50.50;0.80;42.96;0.80;;;;0.141;7022;2;39.180;;;0.004;2489;0;33.38;
idle;39.69;0.80;41.27;0.80;38.48;0.80;;;;0.215;3812;2;8.394;;;0.000;95;0;20.02;
800000-threshold-250;47.57;0.80;51.44;0.80;43.69;0.80;;;;0.110;6185;2;40.774;;;0.003;2035;0;30.85;
idle;40.03;0.80;43.63;0.80;38.91;0.80;;;;0.201;3757;2;8.674;;;0.001;105;0;20.02;
800000-threshold-255;47.01;0.80;51.17;0.80;43.63;0.80;;;;0.106;6781;2;39.428;;;0.004;2663;0;32.59;
idle;39.69;0.80;41.03;0.80;38.19;0.80;;;;0.251;4070;2;8.150;;;0.001;303;0;20.02;
800000-threshold-0;46.45;0.80;49.65;0.80;43.18;0.80;;;;0.121;6994;2;38.869;;;0.003;2724;0;39.53;
idle;39.76;0.80;42.75;0.80;38.11;0.80;;;;0.180;3419;2;8.599;;;0.001;86;0;20.02;
800000-threshold-5;44.98;0.80;47.66;0.80;43.26;0.80;;;;0.159;11777;2;30.948;;;0.002;2314;0;56.03;
idle;39.55;0.80;41.29;0.80;37.72;0.80;;;;0.189;4041;2;8.271;;;0.001;123;0;20.02;
800000-threshold-10;44.91;0.80;47.21;0.80;43.39;0.80;;;;0.123;10833;2;30.882;;;0.002;2568;0;55.73;
idle;39.49;0.80;41.14;0.80;38.42;0.80;;;;0.196;3248;2;8.123;;;0.001;206;0;20.02;
800000-threshold-15;46.57;0.80;49.93;0.80;43.40;0.80;;;;0.137;8744;2;38.709;;;0.004;2955;0;42.69;
